ROUND;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108
USERGRP61;1;1;3;3;1;1;2;1;3;2;1;2;1;2;1;3;2;2;3;2;2;2;3;1;1;3;2;2;3;1;3;2;1;2;1;1;3;1;2;3;3;2;1;1;2;1;2;3;1;2;1;1;1;2;3;2;1;1;1;1;2;3;1;2;1;1;3;3;1;1;3;1;1;3;3;3;2;2;1;2;2;3;2;2;3;2;3;2;1;1;2;2;2;3;2;2;2;2;2;1;2;2;3;2;3;3;1;1
USERGRP62;1;3;1;3;2;3;2;2;3;1;3;1;2;3;2;2;3;3;1;1;3;2;2;3;3;1;3;1;1;1;1;2;1;2;1;2;1;1;3;3;1;1;2;1;3;2;1;2;1;2;1;3;2;2;3;2;2;2;3;1;1;3;2;2;3;1;3;2;1;2;1;1;3;1;2;3;3;2;1;1;2;1;2;3;1;2;1;1;1;2;3;2;1;1;1;1;2;3;1;2;1;1;3;3;1;1;3;1
USERGRP63;2;1;1;3;1;2;1;3;3;1;1;2;1;3;2;1;3;1;2;2;3;2;1;2;2;1;1;1;1;3;3;1;1;1;2;1;1;3;1;3;2;3;2;2;3;1;3;1;2;3;2;2;3;3;1;1;3;2;2;3;3;1;3;1;1;1;1;2;1;2;1;2;1;1;3;3;1;1;2;1;3;2;1;2;1;2;1;3;2;2;3;2;2;2;3;1;1;3;2;2;3;1;3;2;1;2;1;1
USERGRP64;1;3;1;3;2;3;1;2;1;1;1;3;1;2;2;3;1;3;3;2;3;2;2;2;1;2;3;3;3;3;2;2;1;2;2;1;2;1;1;3;1;2;1;3;3;1;1;2;1;3;2;1;3;1;2;2;3;2;1;2;2;1;1;1;1;3;3;1;1;1;2;1;1;3;1;3;2;3;2;2;3;1;3;1;2;3;2;2;3;3;1;1;3;2;2;3;3;1;3;1;1;1;1;2;1;2;1;2
USERGRP65;3;3;1;1;3;2;2;2;2;1;1;1;1;3;2;1;2;1;3;1;3;1;3;3;3;1;1;3;3;2;2;2;1;3;1;3;1;3;1;3;2;3;1;2;1;1;1;3;1;2;2;3;1;3;3;2;3;2;2;2;1;2;3;3;3;3;2;2;1;2;2;1;2;1;1;3;1;2;1;3;3;1;1;2;1;3;2;1;3;1;2;2;3;2;1;2;2;1;1;1;1;3;3;1;1;1;2;1
USERGRP66;1;3;1;1;1;3;1;1;2;2;3;2;1;3;2;2;1;3;2;1;1;3;3;3;1;1;2;3;3;2;3;2;1;2;2;1;3;3;1;1;3;2;2;2;2;1;1;1;1;3;2;1;2;1;3;1;3;1;3;3;3;1;1;3;3;2;2;2;1;3;1;3;1;3;1;3;2;3;1;2;1;1;1;3;1;2;2;3;1;3;3;2;3;2;2;2;1;2;3;3;3;3;2;2;1;2;2;1
USERGRP67;3;1;2;1;3;2;3;3;3;1;3;3;1;3;2;3;1;3;3;3;2;1;2;2;3;2;1;1;1;1;3;3;1;2;2;3;1;3;1;1;1;3;1;1;2;2;3;2;1;3;2;2;1;3;2;1;1;3;3;3;1;1;2;3;3;2;3;2;1;2;2;1;3;3;1;1;3;2;2;2;2;1;1;1;1;3;2;1;2;1;3;1;3;1;3;3;3;1;1;3;3;2;2;2;1;3;1;3
USERGRP68;2;3;1;2;2;3;2;3;1;3;2;3;1;3;1;3;3;1;3;2;3;2;2;2;1;3;3;1;3;1;1;1;1;3;2;3;3;1;2;1;3;2;3;3;3;1;3;3;1;3;2;3;1;3;3;3;2;1;2;2;3;2;1;1;1;1;3;3;1;2;2;3;1;3;1;1;1;3;1;1;2;2;3;2;1;3;2;2;1;3;2;1;1;3;3;3;1;1;2;3;3;2;3;2;1;2;2;1
USERGRP69;3;3;3;1;2;2;3;3;1;1;3;3;1;2;3;1;1;2;2;3;3;3;2;2;1;2;3;1;1;1;2;3;1;1;1;2;2;3;1;2;2;3;2;3;1;3;2;3;1;3;1;3;3;1;3;2;3;2;2;2;1;3;3;1;3;1;1;1;1;3;2;3;3;1;2;1;3;2;3;3;3;1;3;3;1;3;2;3;1;3;3;3;2;1;2;2;3;2;1;1;1;1;3;3;1;2;2;3
USERGRP70;1;1;1;3;1;3;1;1;2;3;1;3;1;1;2;1;1;1;1;2;2;1;3;1;2;1;3;2;1;2;2;3;1;2;2;3;3;3;3;1;2;2;3;3;1;1;3;3;1;2;3;1;1;2;2;3;3;3;2;2;1;2;3;1;1;1;2;3;1;1;1;2;2;3;1;2;2;3;2;3;1;3;2;3;1;3;1;3;3;1;3;2;3;2;2;2;1;3;3;1;3;1;1;1;1;3;2;3
USERGRP71;3;2;3;2;3;3;1;2;2;1;1;3;2;1;2;2;1;1;2;3;2;1;2;3;3;1;3;3;2;3;3;1;2;1;3;1;1;1;1;3;1;3;1;1;2;3;1;3;1;1;2;1;1;1;1;2;2;1;3;1;2;1;3;2;1;2;2;3;1;2;2;3;3;3;3;1;2;2;3;3;1;1;3;3;1;2;3;1;1;2;2;3;3;3;2;2;1;2;3;1;1;1;2;3;1;1;1;2
USERGRP72;2;2;2;3;2;3;2;2;3;1;3;1;3;2;1;3;2;3;3;3;2;2;2;1;3;2;1;1;3;1;1;1;2;3;3;2;3;2;3;2;3;3;1;2;2;1;1;3;2;1;2;2;1;1;2;3;2;1;2;3;3;1;3;3;2;3;3;1;2;1;3;1;1;1;1;3;1;3;1;1;2;3;1;3;1;1;2;1;1;1;1;2;2;1;3;1;2;1;3;2;1;2;2;3;1;2;2;3
USERGRP73;1;3;2;1;2;3;1;3;1;2;2;2;3;1;2;1;3;2;1;1;1;1;1;2;3;2;3;2;2;1;2;3;1;2;2;1;2;2;2;3;2;3;2;2;3;1;3;1;3;2;1;3;2;3;3;3;2;2;2;1;3;2;1;1;3;1;1;1;2;3;3;2;3;2;3;2;3;3;1;2;2;1;1;3;2;1;2;2;1;1;2;3;2;1;2;3;3;1;3;3;2;3;3;1;2;1;3;1
USERGRP74;2;2;2;3;3;3;2;2;2;3;3;1;1;2;2;2;2;1;2;3;3;2;1;2;1;3;3;2;1;1;3;3;1;1;2;2;1;3;2;1;2;3;1;3;1;2;2;2;3;1;2;1;3;2;1;1;1;1;1;2;3;2;3;2;2;1;2;3;1;2;2;1;2;2;2;3;2;3;2;2;3;1;3;1;3;2;1;3;2;3;3;3;2;2;2;1;3;2;1;1;3;1;1;1;2;3;3;2
USERGRP75;1;2;3;3;3;1;3;1;1;1;3;3;2;1;2;2;3;1;1;1;1;1;1;1;3;2;2;2;2;3;1;2;2;3;1;3;2;2;2;3;3;3;2;2;2;3;3;1;1;2;2;2;2;1;2;3;3;2;1;2;1;3;3;2;1;1;3;3;1;1;2;2;1;3;2;1;2;3;1;3;1;2;2;2;3;1;2;1;3;2;1;1;1;1;1;2;3;2;3;2;2;1;2;3;1;2;2;1
USERGRP76;1;1;1;2;1;3;2;3;3;1;2;2;3;3;2;2;1;2;3;3;1;1;2;3;1;3;1;2;1;1;1;3;2;1;3;2;1;2;3;3;3;1;3;1;1;1;3;3;2;1;2;2;3;1;1;1;1;1;1;1;3;2;2;2;2;3;1;2;2;3;1;3;2;2;2;3;3;3;2;2;2;3;3;1;1;2;2;2;2;1;2;3;3;2;1;2;1;3;3;2;1;1;3;3;1;1;2;2
USERGRP77;3;3;1;2;3;1;1;1;2;1;2;1;3;3;2;3;1;3;3;1;3;2;2;1;3;1;3;2;1;1;1;1;2;1;1;1;1;1;1;2;1;3;2;3;3;1;2;2;3;3;2;2;1;2;3;3;1;1;2;3;1;3;1;2;1;1;1;3;2;1;3;2;1;2;3;3;3;1;3;1;1;1;3;3;2;1;2;2;3;1;1;1;1;1;1;1;3;2;2;2;2;3;1;2;2;3;1;3
USERGRP78;3;2;3;1;1;1;1;1;3;2;2;3;2;2;3;1;2;1;3;2;2;3;2;1;1;1;3;1;2;3;1;1;2;1;2;1;3;3;1;2;3;1;1;1;2;1;2;1;3;3;2;3;1;3;3;1;3;2;2;1;3;1;3;2;1;1;1;1;2;1;1;1;1;1;1;2;1;3;2;3;3;1;2;2;3;3;2;2;1;2;3;3;1;1;2;3;1;3;1;2;1;1;1;3;2;1;3;2
USERGRP79;1;2;2;1;3;2;1;1;3;1;3;3;2;2;2;3;1;2;2;2;3;2;3;1;2;3;3;3;1;2;2;2;3;3;1;1;3;2;3;1;1;1;1;1;3;2;2;3;2;2;3;1;2;1;3;2;2;3;2;1;1;1;3;1;2;3;1;1;2;1;2;1;3;3;1;2;3;1;1;1;2;1;2;1;3;3;2;3;1;3;3;1;3;2;2;1;3;1;3;2;1;1;1;1;2;1;1;1
USERGRP80;1;3;3;1;2;1;3;3;1;1;2;3;2;2;3;1;3;1;2;2;1;3;1;2;3;2;3;3;3;1;2;1;2;2;1;1;1;2;2;1;3;2;1;1;3;1;3;3;2;2;2;3;1;2;2;2;3;2;3;1;2;3;3;3;1;2;2;2;3;3;1;1;3;2;3;1;1;1;1;1;3;2;2;3;2;2;3;1;2;1;3;2;2;3;2;1;1;1;3;1;2;3;1;1;2;1;2;1
USERGRP81;1;3;2;2;2;1;2;1;2;2;3;1;3;2;3;1;2;3;3;1;2;2;3;2;3;2;1;2;3;3;1;2;3;2;3;1;1;3;3;1;2;1;3;3;1;1;2;3;2;2;3;1;3;1;2;2;1;3;1;2;3;2;3;3;3;1;2;1;2;2;1;1;1;2;2;1;3;2;1;1;3;1;3;3;2;2;2;3;1;2;2;2;3;2;3;1;2;3;3;3;1;2;2;2;3;3;1;1
USERGRP82;2;2;2;3;3;3;2;1;2;2;2;3;1;3;3;1;2;1;3;1;2;2;1;3;1;3;3;3;1;2;3;1;2;3;1;1;1;3;2;2;2;1;2;1;2;2;3;1;3;2;3;1;2;3;3;1;2;2;3;2;3;2;1;2;3;3;1;2;3;2;3;1;1;3;3;1;2;1;3;3;1;1;2;3;2;2;3;1;3;1;2;2;1;3;1;2;3;2;3;3;3;1;2;1;2;2;1;1
USERGRP83;1;3;2;1;2;3;2;1;1;3;3;3;2;1;1;3;2;1;2;1;1;2;2;2;1;2;3;3;3;2;1;2;2;2;3;2;2;2;2;3;3;3;2;1;2;2;2;3;1;3;3;1;2;1;3;1;2;2;1;3;1;3;3;3;1;2;3;1;2;3;1;1;1;3;2;2;2;1;2;1;2;2;3;1;3;2;3;1;2;3;3;1;2;2;3;2;3;2;1;2;3;3;1;2;3;2;3;1
USERGRP84;3;3;3;3;3;1;2;3;2;2;2;1;3;3;1;2;2;2;2;3;1;3;3;3;3;1;2;1;2;2;2;2;2;2;2;3;1;3;2;1;2;3;2;1;1;3;3;3;2;1;1;3;2;1;2;1;1;2;2;2;1;2;3;3;3;2;1;2;2;2;3;2;2;2;2;3;3;3;2;1;2;2;2;3;1;3;3;1;2;1;3;1;2;2;1;3;1;3;3;3;1;2;3;1;2;3;1;1
USERGRP85;1;2;2;3;1;2;3;2;2;2;2;2;2;1;2;3;3;1;3;2;1;3;3;3;3;3;1;3;2;3;1;1;3;2;3;1;3;3;3;3;3;1;2;3;2;2;2;1;3;3;1;2;2;2;2;3;1;3;3;3;3;1;2;1;2;2;2;2;2;2;2;3;1;3;2;1;2;3;2;1;1;3;3;3;2;1;1;3;2;1;2;1;1;2;2;2;1;2;3;3;3;2;1;2;2;2;3;2
USERGRP86;1;1;3;1;1;2;3;2;3;3;1;3;3;1;1;1;3;2;3;1;2;2;1;3;2;1;1;3;3;3;1;2;1;1;1;3;1;2;2;3;1;2;3;2;2;2;2;2;2;1;2;3;3;1;3;2;1;3;3;3;3;3;1;3;2;3;1;1;3;2;3;1;3;3;3;3;3;1;2;3;2;2;2;1;3;3;1;2;2;2;2;3;1;3;3;3;3;1;2;1;2;2;2;2;2;2;2;3
USERGRP87;1;2;1;1;2;2;3;3;3;3;3;3;3;3;1;1;1;3;2;1;1;3;2;1;2;2;3;1;3;3;3;3;2;1;2;2;1;1;3;1;1;2;3;2;3;3;1;3;3;1;1;1;3;2;3;1;2;2;1;3;2;1;1;3;3;3;1;2;1;1;1;3;1;2;2;3;1;2;3;2;2;2;2;2;2;1;2;3;3;1;3;2;1;3;3;3;3;3;1;3;2;3;1;1;3;2;3;1
USERGRP88;2;3;1;1;3;3;1;1;2;2;3;2;1;2;1;3;2;3;2;3;2;2;3;1;1;2;2;2;2;1;3;3;3;2;3;3;1;2;1;1;2;2;3;3;3;3;3;3;3;3;1;1;1;3;2;1;1;3;2;1;2;2;3;1;3;3;3;3;2;1;2;2;1;1;3;1;1;2;3;2;3;3;1;3;3;1;1;1;3;2;3;1;2;2;1;3;2;1;1;3;3;3;1;2;1;1;1;3
USERGRP89;3;2;3;3;1;2;3;1;2;1;2;3;3;2;3;1;1;2;1;3;3;1;1;1;2;2;3;3;1;3;2;2;3;2;2;3;2;3;1;1;3;3;1;1;2;2;3;2;1;2;1;3;2;3;2;3;2;2;3;1;1;2;2;2;2;1;3;3;3;2;3;3;1;2;1;1;2;2;3;3;3;3;3;3;3;3;1;1;1;3;2;1;1;3;2;1;2;2;3;1;3;3;3;3;2;1;2;2
USERGRP90;1;3;3;1;2;3;3;1;2;2;3;2;3;1;3;2;1;3;1;1;1;1;3;2;2;1;1;1;3;2;3;2;1;1;3;1;3;2;3;3;1;2;3;1;2;1;2;3;3;2;3;1;1;2;1;3;3;1;1;1;2;2;3;3;1;3;2;2;3;2;2;3;2;3;1;1;3;3;1;1;2;2;3;2;1;2;1;3;2;3;2;3;2;2;3;1;1;2;2;2;2;1;3;3;3;2;3;3
USERGRP91;3;2;1;2;1;2;3;1;1;2;1;3;3;1;3;2;1;3;3;1;2;3;3;3;2;3;2;1;3;3;1;1;1;3;1;1;1;3;3;1;2;3;3;1;2;2;3;2;3;1;3;2;1;3;1;1;1;1;3;2;2;1;1;1;3;2;3;2;1;1;3;1;3;2;3;3;1;2;3;1;2;1;2;3;3;2;3;1;1;2;1;3;3;1;1;1;2;2;3;3;1;3;2;2;3;2;2;3
USERGRP92;2;2;3;3;2;2;1;1;1;3;1;1;2;1;1;1;2;2;3;3;1;3;1;3;3;1;3;2;1;1;3;3;2;2;1;2;3;2;1;2;1;2;3;1;1;2;1;3;3;1;3;2;1;3;3;1;2;3;3;3;2;3;2;1;3;3;1;1;1;3;1;1;1;3;3;1;2;3;3;1;2;2;3;2;3;1;3;2;1;3;1;1;1;1;3;2;2;1;1;1;3;2;3;2;1;1;3;1
USERGRP93;3;1;3;2;2;1;2;2;3;2;1;3;1;1;3;3;1;3;1;2;1;3;1;1;3;2;3;3;1;2;3;2;3;2;2;2;2;2;3;3;2;2;1;1;1;3;1;1;2;1;1;1;2;2;3;3;1;3;1;3;3;1;3;2;1;1;3;3;2;2;1;2;3;2;1;2;1;2;3;1;1;2;1;3;3;1;3;2;1;3;3;1;2;3;3;3;2;3;2;1;3;3;1;1;1;3;1;1
USERGRP94;3;3;2;3;3;2;2;1;2;2;3;2;3;2;1;3;3;3;1;3;2;2;1;2;1;1;2;1;2;1;1;2;1;1;3;1;3;1;3;2;2;1;2;2;3;2;1;3;1;1;3;3;1;3;1;2;1;3;1;1;3;2;3;3;1;2;3;2;3;2;2;2;2;2;3;3;2;2;1;1;1;3;1;1;2;1;1;1;2;2;3;3;1;3;1;3;3;1;3;2;1;1;3;3;2;2;1;2
USERGRP95;3;1;3;1;2;3;3;2;1;3;2;3;2;2;2;1;3;2;1;3;3;1;1;2;3;2;1;3;3;3;1;1;3;2;2;3;3;3;2;3;3;2;2;1;2;2;3;2;3;2;1;3;3;3;1;3;2;2;1;2;1;1;2;1;2;1;1;2;1;1;3;1;3;1;3;2;2;1;2;2;3;2;1;3;1;1;3;3;1;3;1;2;1;3;1;1;3;2;3;3;1;2;3;2;3;2;2;2
USERGRP96;3;1;2;3;2;3;3;2;1;2;3;3;3;2;1;3;3;2;3;3;1;1;1;3;2;1;2;3;2;2;2;3;2;1;3;2;3;1;3;1;2;3;3;2;1;3;2;3;2;2;2;1;3;2;1;3;3;1;1;2;3;2;1;3;3;3;1;1;3;2;2;3;3;3;2;3;3;2;2;1;2;2;3;2;3;2;1;3;3;3;1;3;2;2;1;2;1;1;2;1;2;1;1;2;1;1;3;1
USERGRP97;1;3;2;1;1;2;3;1;3;2;3;3;3;2;2;3;1;1;3;3;2;2;2;3;2;3;1;2;2;2;2;1;2;3;2;1;3;1;2;3;2;3;3;2;1;2;3;3;3;2;1;3;3;2;3;3;1;1;1;3;2;1;2;3;2;2;2;3;2;1;3;2;3;1;3;1;2;3;3;2;1;3;2;3;2;2;2;1;3;2;1;3;3;1;1;2;3;2;1;3;3;3;1;1;3;2;2;3
USERGRP98;3;1;3;3;2;2;2;1;1;2;1;3;1;3;1;1;3;3;2;3;3;1;1;1;3;2;2;1;1;2;3;1;3;1;2;1;1;3;2;1;1;2;3;1;3;2;3;3;3;2;2;3;1;1;3;3;2;2;2;3;2;3;1;2;2;2;2;1;2;3;2;1;3;1;2;3;2;3;3;2;1;2;3;3;3;2;1;3;3;2;3;3;1;1;1;3;2;1;2;3;2;2;2;3;2;1;3;2
USERGRP99;3;1;3;1;1;3;2;3;3;1;1;2;1;1;1;2;2;1;3;3;3;1;2;2;3;2;2;1;1;1;1;3;2;3;3;2;3;1;3;3;2;2;2;1;1;2;1;3;1;3;1;1;3;3;2;3;3;1;1;1;3;2;2;1;1;2;3;1;3;1;2;1;1;3;2;1;1;2;3;1;3;2;3;3;3;2;2;3;1;1;3;3;2;2;2;3;2;3;1;2;2;2;2;1;2;3;2;1
USERGRP100;1;3;3;2;3;1;2;2;1;3;3;2;2;2;2;1;1;3;1;2;1;2;2;3;2;3;2;2;3;2;3;3;2;2;1;2;3;1;3;1;1;3;2;3;3;1;1;2;1;1;1;2;2;1;3;3;3;1;2;2;3;2;2;1;1;1;1;3;2;3;3;2;3;1;3;3;2;2;2;1;1;2;1;3;1;3;1;1;3;3;2;3;3;1;1;1;3;2;2;1;1;2;3;1;3;1;2;1
USERGRP101;3;1;3;2;2;3;3;2;2;1;2;2;3;3;1;3;2;3;2;1;2;1;1;2;1;3;3;3;3;2;2;3;1;3;3;3;1;3;3;2;3;1;2;2;1;3;3;2;2;2;2;1;1;3;1;2;1;2;2;3;2;3;2;2;3;2;3;3;2;2;1;2;3;1;3;1;1;3;2;3;3;1;1;2;1;1;1;2;2;1;3;3;3;1;2;2;3;2;2;1;1;1;1;3;2;3;3;2
USERGRP102;1;2;2;1;2;1;3;3;3;1;1;3;2;1;3;1;3;2;2;3;2;1;2;1;3;1;3;2;2;1;2;1;3;2;2;3;3;1;3;2;2;3;3;2;2;1;2;2;3;3;1;3;2;3;2;1;2;1;1;2;1;3;3;3;3;2;2;3;1;3;3;3;1;3;3;2;3;1;2;2;1;3;3;2;2;2;2;1;1;3;1;2;1;2;2;3;2;3;2;2;3;2;3;3;2;2;1;2
USERGRP103;3;2;1;1;3;1;1;3;1;3;1;1;2;2;2;1;3;3;3;1;2;2;1;1;2;2;2;1;2;1;3;2;3;2;1;2;1;2;2;1;2;1;3;3;3;1;1;3;2;1;3;1;3;2;2;3;2;1;2;1;3;1;3;2;2;1;2;1;3;2;2;3;3;1;3;2;2;3;3;2;2;1;2;2;3;3;1;3;2;3;2;1;2;1;1;2;1;3;3;3;3;2;2;3;1;3;3;3
USERGRP104;1;1;2;2;3;1;1;2;2;1;2;3;3;3;2;1;2;2;3;1;3;2;2;3;1;1;3;3;3;3;1;2;1;3;2;1;3;2;1;1;3;1;1;3;1;3;1;1;2;2;2;1;3;3;3;1;2;2;1;1;2;2;2;1;2;1;3;2;3;2;1;2;1;2;2;1;2;1;3;3;3;1;1;3;2;1;3;1;3;2;2;3;2;1;2;1;3;1;3;2;2;1;2;1;3;2;2;3
USERGRP105;2;1;3;3;2;2;3;1;1;2;1;1;3;2;1;3;2;1;3;2;1;1;1;3;2;2;2;1;1;3;3;3;1;3;3;2;1;1;2;2;3;1;1;2;2;1;2;3;3;3;2;1;2;2;3;1;3;2;2;3;1;1;3;3;3;3;1;2;1;3;2;1;3;2;1;1;3;1;1;3;1;3;1;1;2;2;2;1;3;3;3;1;2;2;1;1;2;2;2;1;2;1;3;2;3;2;1;2
USERGRP106;2;1;1;3;3;1;2;1;2;3;3;3;1;1;1;1;1;2;1;1;3;1;2;3;1;3;3;2;2;2;3;2;2;1;2;2;2;1;3;3;2;2;3;1;1;2;1;1;3;2;1;3;2;1;3;2;1;1;1;3;2;2;2;1;1;3;3;3;1;3;3;2;1;1;2;2;3;1;1;2;2;1;2;3;3;3;2;1;2;2;3;1;3;2;2;3;1;1;3;3;3;3;1;2;1;3;2;1
USERGRP107;2;1;1;2;3;1;3;2;2;3;2;1;1;2;2;1;1;1;2;3;3;2;3;3;2;1;1;2;3;1;2;3;1;3;3;1;2;1;1;3;3;1;2;1;2;3;3;3;1;1;1;1;1;2;1;1;3;1;2;3;1;3;3;2;2;2;3;2;2;1;2;2;2;1;3;3;2;2;3;1;1;2;1;1;3;2;1;3;2;1;3;2;1;1;1;3;2;2;2;1;1;3;3;3;1;3;3;2
USERGRP108;1;1;2;2;1;3;1;2;2;3;2;3;2;1;1;3;2;2;1;1;3;3;3;1;3;3;1;3;3;1;2;2;1;1;3;2;2;1;1;2;3;1;3;2;2;3;2;1;1;2;2;1;1;1;2;3;3;2;3;3;2;1;1;2;3;1;2;3;1;3;3;1;2;1;1;3;3;1;2;1;2;3;3;3;1;1;1;1;1;2;1;1;3;1;2;3;1;3;3;2;2;2;3;2;2;1;2;2
USERGRP109;3;1;3;3;1;1;1;3;1;1;2;3;1;3;2;1;3;1;3;2;1;1;1;2;3;2;1;1;3;2;2;2;2;2;3;3;1;1;2;2;1;3;1;2;2;3;2;3;2;1;1;3;2;2;1;1;3;3;3;1;3;3;1;3;3;1;2;2;1;1;3;2;2;1;1;2;3;1;3;2;2;3;2;1;1;2;2;1;1;1;2;3;3;2;3;3;2;1;1;2;3;1;2;3;1;3;3;1
USERGRP110;1;3;2;2;3;3;3;2;2;3;2;3;3;2;3;1;2;2;3;1;2;1;2;1;2;1;1;2;3;3;3;1;3;1;2;3;3;1;3;3;1;1;1;3;1;1;2;3;1;3;2;1;3;1;3;2;1;1;1;2;3;2;1;1;3;2;2;2;2;2;3;3;1;1;2;2;1;3;1;2;2;3;2;3;2;1;1;3;2;2;1;1;3;3;3;1;3;3;1;3;3;1;2;2;1;1;3;2
USERGRP111;3;3;1;3;3;2;1;2;3;1;3;2;3;2;3;3;1;3;3;1;1;1;2;1;2;1;2;3;1;2;2;2;2;2;3;2;1;3;2;2;3;3;3;2;2;3;2;3;3;2;3;1;2;2;3;1;2;1;2;1;2;1;1;2;3;3;3;1;3;1;2;3;3;1;3;3;1;1;1;3;1;1;2;3;1;3;2;1;3;1;3;2;1;1;1;2;3;2;1;1;3;2;2;2;2;2;3;3
USERGRP112;1;3;2;1;2;2;3;3;1;3;1;3;2;2;3;1;3;2;2;1;2;3;3;3;3;1;1;3;1;2;1;1;1;3;2;3;3;3;1;3;3;2;1;2;3;1;3;2;3;2;3;3;1;3;3;1;1;1;2;1;2;1;2;3;1;2;2;2;2;2;3;2;1;3;2;2;3;3;3;2;2;3;2;3;3;2;3;1;2;2;3;1;2;1;2;1;2;1;1;2;3;3;3;1;3;1;2;3
USERGRP113;1;3;2;2;3;2;2;2;1;1;2;3;1;2;3;2;3;2;1;2;1;3;2;3;3;1;2;3;3;2;2;1;1;2;3;1;1;3;2;1;2;2;3;3;1;3;1;3;2;2;3;1;3;2;2;1;2;3;3;3;3;1;1;3;1;2;1;1;1;3;2;3;3;3;1;3;3;2;1;2;3;1;3;2;3;2;3;3;1;3;3;1;1;1;2;1;2;1;2;3;1;2;2;2;2;2;3;2
USERGRP114;3;3;2;2;1;2;2;3;3;2;1;1;3;1;2;2;2;2;3;1;3;3;3;1;1;2;1;3;2;2;3;3;3;3;2;2;1;3;2;2;3;2;2;2;1;1;2;3;1;2;3;2;3;2;1;2;1;3;2;3;3;1;2;3;3;2;2;1;1;2;3;1;1;3;2;1;2;2;3;3;1;3;1;3;2;2;3;1;3;2;2;1;2;3;3;3;3;1;1;3;1;2;1;1;1;3;2;3
USERGRP115;3;3;2;1;3;1;1;1;3;2;2;3;1;1;2;1;3;3;3;1;2;1;1;2;3;3;1;2;3;2;2;1;1;2;3;2;3;3;2;2;1;2;2;3;3;2;1;1;3;1;2;2;2;2;3;1;3;3;3;1;1;2;1;3;2;2;3;3;3;3;2;2;1;3;2;2;3;2;2;2;1;1;2;3;1;2;3;2;3;2;1;2;1;3;2;3;3;1;2;3;3;2;2;1;1;2;3;1
USERGRP116;2;3;1;1;1;1;3;2;2;2;1;3;2;1;2;3;3;2;2;1;2;2;1;1;3;3;3;2;2;3;3;2;2;3;1;2;3;3;2;1;3;1;1;1;3;2;2;3;1;1;2;1;3;3;3;1;2;1;1;2;3;3;1;2;3;2;2;1;1;2;3;2;3;3;2;2;1;2;2;3;3;2;1;1;3;1;2;2;2;2;3;1;3;3;3;1;1;2;1;3;2;2;3;3;3;3;2;2
USERGRP117;2;1;2;3;1;3;3;2;3;3;2;3;3;3;2;2;2;3;2;2;1;1;3;3;1;3;2;1;3;2;3;3;2;3;3;3;2;3;1;1;1;1;3;2;2;2;1;3;2;1;2;3;3;2;2;1;2;2;1;1;3;3;3;2;2;3;3;2;2;3;1;2;3;3;2;1;3;1;1;1;3;2;2;3;1;1;2;1;3;3;3;1;2;1;1;2;3;3;1;2;3;2;2;1;1;2;3;2
USERGRP118;2;2;1;2;2;1;2;3;1;2;3;2;1;2;1;3;1;3;1;2;2;1;1;3;3;2;3;1;2;2;2;3;1;2;2;2;2;1;2;3;1;3;3;2;3;3;2;3;3;3;2;2;2;3;2;2;1;1;3;3;1;3;2;1;3;2;3;3;2;3;3;3;2;3;1;1;1;1;3;2;2;2;1;3;2;1;2;3;3;2;2;1;2;2;1;1;3;3;3;2;2;3;3;2;2;3;1;2
USERGRP119;2;2;3;3;2;2;3;1;3;2;2;1;3;1;3;2;3;1;2;1;2;2;1;1;1;3;2;2;3;1;1;2;2;3;1;1;2;2;1;2;2;1;2;3;1;2;3;2;1;2;1;3;1;3;1;2;2;1;1;3;3;2;3;1;2;2;2;3;1;2;2;2;2;1;2;3;1;3;3;2;3;3;2;3;3;3;2;2;2;3;2;2;1;1;3;3;1;3;2;1;3;2;3;3;2;3;3;3
USERGRP120;3;3;1;1;3;3;1;1;3;1;1;2;2;3;3;2;2;1;3;2;3;2;3;1;2;2;3;2;3;3;2;2;2;3;3;1;2;2;3;3;2;2;3;1;3;2;2;1;3;1;3;2;3;1;2;1;2;2;1;1;1;3;2;2;3;1;1;2;2;3;1;1;2;2;1;2;2;1;2;3;1;2;3;2;1;2;1;3;1;3;1;2;2;1;1;3;3;2;3;1;2;2;2;3;1;2;2;2
USERGRP121;2;3;2;3;2;1;1;1;1;3;3;1;2;1;3;3;1;2;3;1;1;1;1;1;2;2;3;2;2;3;3;1;2;3;1;1;3;3;1;1;3;3;1;1;3;1;1;2;2;3;3;2;2;1;3;2;3;2;3;1;2;2;3;2;3;3;2;2;2;3;3;1;2;2;3;3;2;2;3;1;3;2;2;1;3;1;3;2;3;1;2;1;2;2;1;1;1;3;2;2;3;1;1;2;2;3;1;1
